x,y
0.8,1.25
1.1218,1.2501
1.4629,1.25
1.852,1.25
2.1827,1.25
2.5582,1.25
2.9318,1.2499
3.2799,1.2499
3.6544,1.2498
4.0868,1.2498
4.5077,1.2497
4.8385,1.2497
5.2095,1.2496
5.5854,1.2495
5.947,1.2495
6.3488,1.2494
6.791,1.2494
7.2356,1.2493
7.6405,1.2493
8.0835,1.2492
8.5668,1.2492
9.0275,1.2485
9.5012,1.2489
10.0151,1.2493
10.5692,1.2497
11.1637,1.2502
11.4761,1.2504
11.7916,1.2507
12.3638,1.2512
12.9293,1.2516
13.4897,1.2521
14.0459,1.2526
14.6415,1.2531
15.201,1.2535
15.758,1.254
16.3553,1.2545
16.6588,1.2548
17.2324,1.2553
17.8404,1.2558
18.1481,1.256
18.7149,1.2565
19.3038,1.257
19.6134,1.2573
19.9201,1.2576
20.5044,1.2581
20.8093,1.2583
21.1242,1.2586
21.4492,1.2589
21.7842,1.2592
22.1149,1.2595
22.4291,1.2597
22.7493,1.26
23.0796,1.2603
23.4199,1.2606
23.7551,1.2609
24.0701,1.2612
24.6397,1.2617
25.145,1.2621
25.677,1.2626
26.2442,1.2631
26.779,1.2635
27.3418,1.264
27.9392,1.2645
28.5035,1.265
29.097,1.2655
29.4088,1.2657
29.7246,1.266
30.3048,1.2665
30.8991,1.267
31.2114,1.2674
31.5337,1.2677
31.8447,1.268
32.4284,1.2685
32.7311,1.2688
33.044,1.269
33.3589,1.2694
33.9373,1.27
34.5334,1.2706
34.8466,1.2709
35.169,1.2712
35.4785,1.2715
36.062,1.2721
36.3655,1.2724
36.6791,1.2727
37.0015,1.273
37.3101,1.2733
37.8775,1.2739
38.4653,1.2744
38.7744,1.2747
39.0935,1.275
39.4111,1.2752
39.998,1.2758
40.6071,1.2765
40.9268,1.2768
41.2536,1.2772
41.5651,1.2776
41.8699,1.278
42.1848,1.2784
42.5098,1.2788
42.8448,1.2793
43.1864,1.2797
43.5121,1.2801
43.8324,1.2806
44.1626,1.281
44.5029,1.2815
44.8534,1.2819
45.1984,1.2824
45.5233,1.2828
45.8322,1.2832
46.1481,1.2836
46.474,1.2841
46.8099,1.2845
47.156,1.2849
47.5072,1.2854
47.8411,1.2858
48.1599,1.2862
48.4861,1.2866
48.8225,1.287
49.1688,1.2874
49.5069,1.288
49.8303,1.2887
50.1619,1.2889
50.5036,1.2891
50.8554,1.2893
51.1978,1.2895
51.52,1.2896
51.8283,1.2898
52.1453,1.2899
52.4723,1.2901
52.803,1.2903
53.1147,1.2905
53.427,1.2906
53.7493,1.2908
54.0747,1.2909
54.3808,1.2911
54.9545,1.2914
55.5151,1.2917
56.0187,1.2919
56.531,1.2923
56.9708,1.2927
57.4062,1.2949
57.8573,1.2977
58.2589,1.3029
58.6447,1.3182
58.9793,1.3458
59.3265,1.3916
59.6722,1.4471
60.0119,1.5065
60.3328,1.57
60.6929,1.6457
61.0314,1.7205
61.377,1.8006
61.6778,1.8728
61.9934,1.9567
62.3161,2.0444
62.6228,2.1365
62.9164,2.2347
63.2052,2.3398
63.6019,2.5045
63.9885,2.6733
64.2876,2.8091
64.6781,2.9904
64.9518,3.1239
65.2562,3.2767
65.5278,3.416
65.8198,3.5735
66.1476,3.7596
66.4659,3.9466
66.796,4.1511
67.1526,4.386
67.4705,4.6019
67.8107,4.8467
68.1737,5.1223
68.4937,5.3784
68.8198,5.6608
69.1345,5.9554
69.4166,6.2292
69.6989,6.5224
69.9834,6.8311
70.2806,7.164
70.5656,7.4945
70.7903,7.7788
71.0166,8.0855
71.2598,8.4335
71.461,8.7272
71.6862,9.0971
71.8442,9.3929
71.99,9.6813
72.1695,10.0833
72.3086,10.4149
72.4249,10.7109
72.5421,11.0297
72.6686,11.3896
72.8014,11.7858
72.9142,12.1557
73.0237,12.5463
73.1336,12.9848
73.233,13.43
73.3053,13.8152
73.363,14.2238
73.4144,14.7024
73.448,15.1267
73.4742,15.5732
73.4916,16.0145
73.5027,16.3871
73.511,16.747
73.5179,17.1519
73.5239,17.5921
73.529,18.0246
73.5335,18.4896
73.5374,18.9714
73.5413,19.3813
73.5465,19.7868
73.5528,20.224
73.5597,20.6281
73.5674,21.0637
73.575,21.4704
73.5834,21.8984
73.5916,22.3265
73.594,22.765
73.5884,23.1537
73.57,23.5397
73.5434,23.9071
73.5088,24.2964
73.4602,24.7269
73.4157,25.0848
73.3603,25.4507
73.2937,25.8484
73.206,26.2829
73.116,26.6869
73.0306,27.0262
72.9317,27.368
72.8147,27.7474
72.6843,28.1445
72.549,28.5135
72.3914,28.9223
72.2174,29.3531
72.0504,29.7382
71.8736,30.1018
71.6739,30.4938
71.4676,30.8687
71.2322,31.2762
70.9874,31.6869
70.7399,32.0651
70.4501,32.4796
70.1788,32.848
69.9276,33.1636
69.6491,33.4893
69.3769,33.7868
69.1087,34.0546
68.7953,34.3512
68.5022,34.6125
68.1759,34.8885
67.8297,35.1695
67.4709,35.444
67.0873,35.7257
66.6622,36.0187
66.2635,36.2865
65.8295,36.5664
65.4275,36.8156
65.0655,37.0175
64.7099,37.194
64.3905,37.3269
64.0165,37.4566
63.6632,37.5685
63.2869,37.68
62.8605,37.7925
62.4458,37.8934
61.9819,37.9966
61.5237,38.0915
61.1204,38.1685
60.6818,38.2454
60.2327,38.3197
59.8234,38.3812
59.3871,38.4403
58.9744,38.4909
58.5798,38.5319
58.1464,38.5694
57.7712,38.5951
57.3946,38.6152
56.9982,38.6317
56.6335,38.6438
56.2264,38.6549
55.7829,38.6629
55.3026,38.6682
54.886,38.671
54.5388,38.6728
54.1711,38.6739
53.7624,38.6751
53.3147,38.6759
52.8256,38.6763
52.3532,38.6761
51.9474,38.6759
51.5179,38.6751
51.0622,38.6744
50.6377,38.6736
50.1771,38.6727
49.6763,38.6715
49.1394,38.6702
48.6341,38.6689
48.1024,38.6675
47.5353,38.6659
47.0128,38.6644
46.4803,38.6629
45.9076,38.6612
45.3617,38.6595
44.8908,38.6581
44.4072,38.6566
43.8835,38.6551
43.3898,38.6534
42.9345,38.6519
42.4399,38.6501
41.9052,38.6481
41.4032,38.6462
40.9078,38.6441
40.3721,38.6418
39.8196,38.6393
39.293,38.6368
38.7265,38.634
38.1682,38.6313
37.6409,38.6286
37.0735,38.6255
36.4765,38.6223
35.9127,38.6192
35.3146,38.6158
35.0024,38.6141
34.4252,38.6108
33.8464,38.6073
33.5419,38.6054
33.2399,38.6035
32.6937,38.6
32.1441,38.5963
31.5543,38.5922
31.2477,38.59
30.6716,38.586
30.0712,38.5816
29.7558,38.5794
29.4342,38.5772
29.1293,38.5748
28.5448,38.5708
28.2391,38.5687
27.9277,38.5667
27.3425,38.5627
27.0416,38.5607
26.7306,38.5586
26.4096,38.5565
26.0786,38.5543
25.7549,38.5522
25.4514,38.5502
25.1501,38.5482
24.8388,38.5461
24.5173,38.544
24.1914,38.5419
23.8836,38.5399
23.5769,38.5379
23.2603,38.5358
22.9335,38.5337
22.5968,38.5315
22.2561,38.5293
21.9341,38.5272
21.6257,38.5253
21.3086,38.5233
20.9813,38.5214
20.6441,38.5193
20.3176,38.5174
20.0112,38.5156
19.7039,38.5138
19.3865,38.5119
19.0591,38.51
18.7433,38.5082
18.1497,38.5048
17.8418,38.503
17.524,38.5012
17.2042,38.4994
16.616,38.4961
16.0095,38.4927
15.6921,38.491
15.3878,38.4893
14.83,38.4863
14.254,38.4833
13.7064,38.4804
13.1388,38.4774
12.5588,38.4744
12.0003,38.4715
11.4016,38.4684
11.0895,38.4667
10.5031,38.4636
9.8938,38.4604
9.5742,38.4587
9.2443,38.4573
8.9182,38.456
8.6088,38.4552
8.2937,38.4541
7.9685,38.4531
7.6367,38.4521
7.3211,38.4513
7.0109,38.4505
6.6905,38.4498
6.3641,38.4491
6.0542,38.4484
5.4595,38.4473
5.153,38.4467
4.5958,38.4442
4.0559,38.4402
3.521,38.435
2.9588,38.4289
2.4227,38.4238
1.9275,38.4194
1.4146,38.4152
0.8768,38.4113
0.3863,38.408
-0.1181,38.4047
-0.6203,38.4017
-1.0643,38.3991
-1.539,38.3964
-1.9881,38.3939
-2.4536,38.3914
-2.9368,38.3884
-3.4229,38.386
-3.9493,38.3836
-4.5069,38.3809
-5.0306,38.3785
-5.5878,38.3759
-6.1586,38.3733
-6.7063,38.3707
-7.2925,38.3679
-7.8401,38.3654
-8.3885,38.3627
-8.9642,38.3576
-9.4762,38.3452
-9.9614,38.3194
-10.4904,38.2779
-11.0221,38.226
-11.489,38.1642
-11.9712,38.0838
-12.4799,37.9857
-12.9196,37.8867
-13.3181,37.7757
-13.724,37.6406
-14.1778,37.4693
-14.6085,37.2891
-15.075,37.0831
-15.5653,36.8504
-16.0231,36.621
-16.4993,36.3671
-16.9684,36.1017
-17.3637,35.8574
-17.7667,35.5809
-18.1678,35.2783
-18.5116,34.9993
-18.7982,34.7393
-19.0651,34.4655
-19.3471,34.1394
-19.6088,33.8144
-19.8712,33.4657
-20.1523,33.0904
-20.4432,32.6866
-20.731,32.2704
-20.9862,31.8763
-21.2516,31.4341
-21.5225,30.9667
-21.7666,30.5166
-22.0005,30.0382
-22.2256,29.5391
-22.4395,29.0208
-22.6457,28.4745
-22.8174,27.9628
-22.9723,27.4243
-23.1065,26.841
-23.2279,26.2647
-23.2869,25.964
-23.3441,25.654
-23.3959,25.3578
-23.4757,24.8245
-23.5459,24.2778
-23.6067,23.7299
-23.6566,23.1977
-23.703,22.6171
-23.7392,22.0619
-23.764,21.5507
-23.781,21.0383
-23.7899,20.5402
-23.7926,19.997
-23.7899,19.4618
-23.7834,18.932
-23.7716,18.3573
-23.7622,18.0563
-23.7366,17.4914
-23.7021,16.9069
-23.6795,16.6046
-23.6529,16.2953
-23.589,15.717
-23.5498,15.4141
-23.5059,15.1037
-23.4578,14.7938
-23.4055,14.4869
-23.2898,13.9233
-23.1462,13.3505
-23.0648,13.0592
-22.8906,12.5279
-22.6806,11.9747
-22.4581,11.4633
-22.3343,11.186
-22.2057,10.9114
-22.0747,10.6406
-21.8004,10.0999
-21.6508,9.8125
-21.5084,9.5447
-21.2242,9.0422
-20.9145,8.5342
-20.5985,8.0662
-20.2619,7.6038
-19.9376,7.1903
-19.5851,6.7678
-19.2019,6.3303
-18.8409,5.9453
-18.464,5.56
-18.0558,5.1557
-17.6776,4.7984
-17.3311,4.5023
-16.9721,4.2208
-16.6005,3.9637
-16.2122,3.7244
-15.7933,3.5033
-15.3201,3.2747
-14.8669,3.0875
-14.3624,2.9043
-13.9294,2.7622
-13.4802,2.6226
-13.0105,2.4855
-12.5228,2.3522
-12.0446,2.2292
-11.5985,2.1186
-11.1179,2.0045
-10.6693,1.9054
-10.212,1.8153
-9.8253,1.75
-9.4313,1.702
-9.0601,1.6753
-8.6674,1.6675
-8.331,1.6708
-7.9742,1.6766
-7.5996,1.6892
-7.263,1.7033
-6.8865,1.7129
-6.5599,1.7194
-6.2203,1.7195
-5.8673,1.7093
-5.5558,1.6917
-5.1956,1.666
-4.8298,1.6387
-4.4581,1.6078
-4.1479,1.5898
-3.7752,1.5775
-3.403,1.5673
-3.059,1.5595
-2.7185,1.5529
-2.404,1.5485
-2.0879,1.5448
-1.6832,1.5407
-1.3393,1.5378
-1.0213,1.5352
-0.6733,1.5328
-0.3141,1.5306
0.035,1.5285
0.4189,1.5265
0.7361,1.5249
